GAME.#,POSS.#,PLAY.ID,SHOT.CLOCK.THIRD,SHOT.TYPE,CONTESTED?,PAINT.TOUCH,CAUSE.OF.PAINT,PAINT.ATTACKER,DEFENDER-ATTACKER,PLAY.RESULT,POINT.RESULT
22,64,80,:20 - :11,Catch-and-shoot,TRUE,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Guard,Assisted 3,3
22,65,81,:10 - :00,Catch-and-shoot,TRUE,FALSE,Post-up (on the block),20 Jericho Sims,Opponent-Big,Missed 2,0
22,66,82,:20 - :11,Catch-and-shoot,TRUE,TRUE,Post-up (on the block),22 Kai Jones,Opponent-Big,Made 2,2
22,67,83,:30 - :21,Layup,TRUE,TRUE,Transition,22 Kai Jones,Opponent-Guard,Missed 2,0
22,68,84,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,No Result,0
22,68,85,:10 - :00,N/A,N/A,FALSE,N/A,N/A,N/A,Shot Clock Violation,0
22,69,86,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
22,70,87,:10 - :00,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Assisted 3,3
22,71,88,:10 - :00,N/A,N/A,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Big,Turnover,0
22,72,89,:10 - :00,Layup,TRUE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Made 2,2
22,73,90,:30 - :21,Free Throws,N/A,FALSE,N/A,N/A,N/A,Floor Foul (Bonus),2
22,74,91,:30 - :21,Free Throws,N/A,FALSE,N/A,N/A,N/A,Floor Foul (Bonus),2
22,75,92,No Shot Clock,Free Throws,N/A,FALSE,N/A,N/A,N/A,Floor Foul (Bonus),2
23,1,1,:20 - :11,N/A,N/A,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Big,No Result,0
23,1,2,:20 - :11,Dunk,TRUE,TRUE,Cut,20 Jericho Sims,Opponent-Big,Made 2,2
23,2,3,:20 - :11,N/A,N/A,TRUE,Perimeter Drive,4 Greg Brown,Opponent-Big,Floor Foul,0
23,2,4,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
23,2,5,:20 - :11,Layup,TRUE,TRUE,Offensive Rebound,1 Andrew Jones,Opponent-Big,Missed 2,0
23,3,6,:20 - :11,Dunk,FALSE,TRUE,Post-up (inside paint),20 Jericho Sims,Opponent-Big,Assisted 2,2
